person	sentence	type
owner	you will come back to boston	nothing
other	you will come back to boston	event
owner	i will come to see you when the sun shines	meeting
other	i will come to see you when the sun shines	meeting
owner	i will come and spend the night at paris	travel
other	i will come and spend the night at paris	nothing
owner	come with me morning	meeting
other	come with me morning	meeting
owner	i have come to you with a message	meeting
other	i have come to you with a message	nothing
owner	i will come to you tomorrow	meeting
other	i will come to you tomorrow	meeting
owner	come to her on tuesday	nothing
other	come to her on tuesday	meeting
owner	i will come and sit with you	meeting
other	i will come and sit with you	meeting
owner	you will come to the costume tournament	nothing
other	you will come to the costume tournament	meeting
owner	come and eat something with me at morning	meeting
other	come and eat something with me at morning	meeting
owner	i will come back to eat dinner	dinner
other	i will come back to eat dinner	nothing
owner	i will come out to you in morning	meeting
other	i will come out to you in morning	meeting
owner	we will come to paris in mars	travel
other	we will come to paris in mars	nothing
owner	i may come tomorrow	meeting
other	i may come tomorrow	meeting
owner	i might come tomorrow	meeting
other	i might come tomorrow	meeting
owner	i will come next week	meeting
other	i will come next week	meeting
owner	i will come to see you tomorrow	meeting
other	i will come to see you tomorrow	meeting
owner	i will come to paris with you	travel
other	i will come to paris with you	travel
owner	i will come to memphis monday	travel
other	i will come to memphis monday	nothing
owner	we will come to watch a movie tomorrow	hanging out
other	we will come to watch a movie tomorrow	hanging out
owner	come with us at six PM	meeting
other	come with us at six PM	meeting
owner	fly down on friday	flight
other	fly down on friday	nothing
owner	tomorrow you would fly back to arkansas	nothing
other	tomorrow you would fly back to arkansas	flight
owner	tomorrow night we fly up north	flight
other	tomorrow night we fly up north	nothing
owner	you could fly down and back	nothing
other	you could fly down and back	flight
owner	i will fly to Paris in twenty four mars	flight
other	i will fly to Paris in twenty four mars	nothing
owner	i will fly to the meeting	flight
other	i will fly to the meeting	nothing
owner	i am going to fly to houston next week	flight
other	i am going to fly to houston next week	nothing
owner	this next week we will fly to mexico	flight
other	this next week we will fly to mexico	nothing
owner	i might fly to rome	flight
other	i might fly to rome	nothing
owner	we will fly to san diego next week	flight
other	we will fly to san diego next week	nothing
owner	we will go to sea	hanging out
other	we will go to sea	nothing
owner	you will go to college tomorrow	meeting
other	you will go to college tomorrow	meeting
owner	might you go too	nothing
other	might you go too	meeting
owner	i will go to doctor	meeting
other	i will go to doctor	nothing
owner	you go on home with jonathan	nothing
other	you go on home with jonathan	travel
owner	i hope you will go with me to athens	nothing
other	i hope you will go with me to athens	travel
owner	i can go to sam's club and buy a twenty pound bag	nothing
other	i can go to sam's club and buy a twenty pound bag	nothing
owner	i will go to see him	meeting
other	i will go to see him	nothing
owner	i will go to boston in twenty six june	travel
other	i will go to boston in twenty six june	nothing
owner	tomorrow i will go out and see some of those things	hanging out
other	tomorrow i will go out and see some of those things	nothing
owner	we will go shopping this afternoon	shopping
other	we will go shopping this afternoon	nothing
owner	i will go to museum at seven AM	travel
other	i will go to museum at seven AM	nothing
owner	i will go to cincinnati in may	travel
other	i will go to cincinnati in may	nothing
owner	i travel tomorrow morning with my counselors	travel
other	i travel tomorrow morning with my counselors	nothing
owner	i will travel to cairo tomorrow	travel
other	i will travel to cairo tomorrow	nothing
owner	i am going to travel with my friends to alex	travel
other	i am going to travel with my friends to alex	nothing
owner	i am supposed to meet connie at noon	meeting
other	i am supposed to meet connie at noon	nothing
owner	meet us in town this afternoon	meeting
other	meet us in town this afternoon	meeting
owner	we would meet the young girl on saturday	meeting
other	we would meet the young girl on saturday	meeting
owner	lets meet your new family	meeting
other	lets meet your new family	meeting
owner	princess mary came out to meet pierre	nothing
other	princess mary came out to meet pierre	nothing
owner	mom meet the new sitter	nothing
other	mom meet the new sitter	nothing
owner	i will meet you by the main reception desk	meeting
other	i will meet you by the main reception desk	meeting
owner	after i finish i will call you	calling
other	after i finish i will call you	calling
owner	when i reach home i will call you	calling
other	when i reach home i will call you	calling
owner	waiting for your call today	calling
other	waiting for your call today	calling
owner	i will call you tomorrow	calling
other	i will call you tomorrow	calling
owner	i will see you tomorrow	meeting
other	i will see you tomorrow	meeting
owner	see you this morning	meeting
other	see you this morning	meeting
owner	i will be ready to see you tomorrow	meeting
other	i will be ready to see you tomorrow	meeting
owner	i will send you a mail containing the file as soon as i reach home	event
other	i will send you a mail containing the file as soon as i reach home	event
owner	i will be sure to send it to you	event
other	i will be sure to send it to you	event
owner	i will send you the link to our online forum	event
other	i will send you the link to our online forum	event
owner	we are going to eat before we leave	nothing
other	we are going to eat before we leave	nothing
owner	no i will eat after ten minutes	nothing
other	no i will eat after ten minutes	nothing
owner	you will eat with us	nothing
other	you will eat with us	nothing
owner	i am going to eat my breakfast	nothing
other	i am going to eat my breakfast	nothing
owner	are you ready to eat and go outside	hanging out
other	are you ready to eat and go outside	hanging out
owner	i am going to eat what i like with you	hanging out
other	i am going to eat what i like with you	hanging out
owner	i will wait for you to eat with me this morning	hanging out
other	i will wait for you to eat with me this morning	hanging out
owner	now lets eat lunch	nothing
other	now lets eat lunch	nothing
owner	if you want to eat lets go to eat something	nothing
other	if you want to eat lets go to eat something	nothing
owner	i am going to eat pizza with my friend tomorrow	hanging out
other	i am going to eat pizza with my friend tomorrow	nothing
owner	lets go to the restaurant to take the dinner	norhing
other	lets go to the restaurant to take the dinner	nothing
owner	would you like to eat something with me	hanging out
other	would you like to eat something with me	hanging out
owner	lets go to the coffee to drink some coffee	hanging out
other	lets go to the coffee to drink some coffee	hanging out
owner	do you like to drink tea with me	meeting
other	do you like to drink tea with me	meeting
owner	we are going to take the dinner at seven PM follow us	hanging out
other	we are going to take the dinner at seven PM follow us	hanging out
owner	lets go eat before it gets cold	nothing
other	lets go eat before it gets cold	nothing
owner	i invite you to drink a cup of tea with me	meeting
